word,definition_1,definition_2,definition_3,definition_4,definition_5,definition_6,definition_7,definition_8,definition_9,definition_10,definition_11,definition_12,definition_13,definition_14,definition_15,definition_16,definition_17,definition_18,definition_19,definition_20,definition_21,definition_22,definition_23,definition_24,definition_25,definition_26,definition_27,definition_28
egalitarian,a person who believes that everyone is equal and should have the same rights and opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,
pacifist,holding or showing the belief that war and violence are always wrong ,,,,,,,,,,,,,,,,,,,,,,,,,,,
attrition,"a process of making somebody/something, especially your enemy, weaker by repeatedly attacking them or creating problems for them","the process of reducing the number of people who are employed by an organization by, for example, not replacing people who leave their jobs",late Middle English,,,,,,,,,,,,,,,,,,,,,,,,,
significance level,page does not exist,,,,,,,,,,,,,,,,,,,,,,,,,,,
ridership,page does not exist,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanitize,to remove the parts of something that could be considered unpleasant,to clean something thoroughly using chemicals to remove bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
rudimentary,dealing with only the most basic matters or ideas,not highly or fully developed,,,,,,,,,,,,,,,,,,,,,,,,,,
process,a series of things that are done in order to achieve a particular result,"a series of things that happen, especially ones that result in natural changes","a method of doing or making something, especially one that is used in industry",Middle English,,,,,,,,,,,,,,,,,,,,,,,,
high,measuring a long distance from the bottom to the top,used to talk about the distance that something measures from the bottom to the top,at a level which is a long way above the ground or above the level of the sea,"greater or better than normal in quantity or quality, size or degree",containing a lot of a particular substance,near the top in rank or status,of great value,morally good,showing a lot of approval or respect for somebody,at the upper end of the range of sounds that humans can hear; not deep or low,used to describe the middle or the most attractive part of a period of time,beginning to go bad and having a strong smell,behaving in an excited way because of the effects of alcohol or drugs,Old English,to behave in a way that shows you think you are better than other people,to enjoy yourself very much,despite any difficulties,in a position out of the water,"in a difficult situation, without help or money",behaving as though you think you are more important than other people,"behaving in a very excited way, especially because of being strongly affected by alcohol or drugs",the amount of attention somebody/something has from the public,"in an angry or offended mood, and showing other people that you are angry",used to say that you think somebody should do something soon,of a high quality or degree; of the highest quality or greatest degree,to have a strong unpleasant smell,to seem to be very dishonest or morally unacceptable,to claim that your side of an argument is morally better than your opponents Eside; to argue in a way that makes your side seem morally better
page,"one side or both sides of a sheet of paper in a book, magazine, etc.",a section of data or information that can be shown on a computer screen at any one time,an important event or period of history,a student who works as an assistant to a member of the US Congress,a boy or young man who worked for a knight,late 16th cent.,Middle English,if two or more people or groups are on the same page,"what is published in books, newspapers, etc.",to begin doing things in a different way and thinking in a more positive way after a period of difficulties,,,,,,,,,,,,,,,,,,
